frase,situacao
estou com dor no peito que parece muscular mas tenho histórico familiar cardíaco,alto risco
sinto o coração acelerado às vezes sem motivo aparente,baixo risco
tenho falta de ar leve que piora um pouco quando subo ladeira,alto risco
sinto uma pressão no peito que vai e vem sem padrão definido,alto risco
estou com cansaço maior que o normal e um leve inchaço nos pés,alto risco
tenho sentido dor no peito leve que aparece quando fico estressado,baixo risco
sinto palpitações esporádicas que duram poucos segundos,baixo risco
estou com uma dor no peito que parece azia mas não tenho certeza,baixo risco
tenho tontura quando levanto rápido e às vezes escurece a vista,alto risco
sinto um desconforto no peito que não consigo explicar bem,alto risco
estou com falta de ar leve que aparece quando deito e some quando sento,alto risco
tenho sentido um cansaço que não melhora com repouso há uma semana,alto risco
sinto uma dor no braço esquerdo que não sei se é muscular ou do coração,alto risco
estou com palpitações que aparecem depois de tomar café em excesso,baixo risco
tenho um incômodo no peito que dura poucos minutos e depois passa,baixo risco
sinto falta de ar leve quando faço atividade intensa mas sou sedentário,baixo risco
estou com dor no peito há um dia que piora quando me movimento e melhora em repouso,alto risco
tenho sentido o coração irregular e um pouco de tontura,alto risco
sinto uma pontada no peito que piora quando respiro mas não tenho febre,alto risco
estou com cansaço leve e dormência no braço que vai e vem,alto risco
tenho uma sensação de aperto no peito quando faço esforço que nunca tive antes,alto risco
sinto uma dor no peito que parece piorar quando como e deito logo depois,baixo risco
estou com uma leve falta de ar que aparece apenas no calor intenso,baixo risco
tenho sentido o coração mais forte quando deito do lado esquerdo,baixo risco
sinto um desconforto no peito que melhora ao eructar,baixo risco
estou com uma dor leve nas costas que irradia para o peito quando me estico,baixo risco
sinto uma dor no peito que irradia para o ombro e trapézio esquerdo,alto risco
estou com dor no peito intensa após ter tido uma gripe forte,alto risco
sinto falta de ar e inchaço nas pernas que vem piorando há semanas,alto risco
tive uma tontura forte e quase desmaiei quando estava correndo,alto risco
sinto dor no peito e minha pressão está muito alta hoje,alto risco
estou com batimentos irregulares que não param há mais de uma hora,alto risco
sinto dor no peito acompanhada de febre e cansaço extremo,alto risco
tenho tido desmaios recorrentes ao subir escadas,alto risco
sinto uma dor constante no peito há três dias que só piora,alto risco
estou com falta de ar ao deitar e preciso ficar sentado para respirar,alto risco
sinto uma leve dor de barriga que aparece depois de comer feijão,baixo risco
tenho uma coceira nas costas que piora com calor,baixo risco
estou com o nariz entupido e espirros frequentes,baixo risco
sinto uma dor na sola do pé depois de caminhar de chinelo,baixo risco
tenho sentido uma leve dor de ouvido do lado direito,baixo risco
sinto uma câimbra na mão quando escrevo por muito tempo,baixo risco
estou com uma dor no cotovelo que piora ao apoiar na mesa,baixo risco
tenho a garganta arranhando e um pouco de tosse,baixo risco
sinto um incômodo na nuca que piora no trânsito,baixo risco
estou com uma leve dor no quadril ao caminhar longas distâncias,baixo risco
sinto uma pontada na costela quando rio muito,baixo risco
